"","uf","ibge","municipio","cnes","estabelecimento","latitude","longitude","link","pop_vinc","qt_bnf_auxilio_brasil","perc_benef","classificacao","equipes","medicos","enfermeiros","tecnicos","acs","pdte_anual_medicos","pdte_anual_enfermeiros","pdte_anual_tecnicos","pdte_anual_acs"
"69","GO","520870","GOIÂNIA",3989577,"USF JARDIM ARITANA","-16.7177825","-49.3736734",NA,8369,963,0.115067511052694,"alta vulnerabilidade",4.1845,4.1845,4.1845,8.369,11.1586666666667,358.753923,239.169282,956.677128,425.189834666667
"70","GO","520870","GOIÂNIA",6634842,"USF BUENA VISTA","-16.7251507","-49.40665",NA,9461,1507,0.159285487791988,"alta vulnerabilidade",4.7305,4.7305,4.7305,9.461,12.6146666666667,405.564687,270.376458,1081.505832,480.669258666667
"71","GO","520870","GOIÂNIA",506664,"CENTRO DE SAUDE VILA NOVA","-16.664654","-49.2384345",NA,1506,167,0.110889774236388,"alta vulnerabilidade",0.753,0.753,0.753,1.506,2.008,64.557702,43.038468,172.153872,76.512832
"72","GO","520870","GOIÂNIA",2339404,"CENTRO DE SAUDE CIDADE JARDIM MICHELE MUNIZ DO CARMO","-16.678898","-49.311389",NA,6096,502,0.0823490813648294,"média vulnerabilidade",2.4384,2.4384,2.4384,4.8768,8.128,209.0537856,139.3691904,557.4767616,309.709312
"73","GO","520870","GOIÂNIA",2506823,"CENTRO DE SAUDE ESPLANADA DO ANICUNS","-16.6614979","-49.3090587",NA,6129,729,0.118942731277533,"alta vulnerabilidade",3.0645,3.0645,3.0645,6.129,8.172,262.731843,175.154562,700.618248,311.385888
"74","GO","520870","GOIÂNIA",7381549,"CENTRO DE SAUDE CAMPUS SAMAMBAIA","-16.605281","-49.267079",NA,1974,114,0.0577507598784194,"baixa vulnerabilidade",0.564,0.564,0.564,1.128,2.632,48.353976,32.235984,128.943936,100.289728
"75","GO","520870","GOIÂNIA",2339269,"USF CONJUNTO RIVIERA","-16.686499","-49.2068392",NA,15204,804,0.0528808208366219,"baixa vulnerabilidade",4.344,4.344,4.344,8.688,20.272,372.428496,248.285664,993.142656,772.444288
"76","GO","520870","GOIÂNIA",2653893,"USF VILA PEDROSO","-16.6586982","-49.1812118",NA,6693,623,0.093082324816973,"média vulnerabilidade",2.6772,2.6772,2.6772,5.3544,8.924,229.5270648,153.0180432,612.0721728,340.040096
"77","GO","520870","GOIÂNIA",7247214,"USF ANTONIO CARLOS PIRES","-16.5449258","-49.2678248",NA,6759,1002,0.148246782068353,"alta vulnerabilidade",3.3795,3.3795,3.3795,6.759,9.012,289.738053,193.158702,772.634808,343.393248
"78","GO","520870","GOIÂNIA",2339420,"USF VERA CRUZ I","-16.6645888","-49.3837189",NA,7525,607,0.0806644518272425,"média vulnerabilidade",3.01,3.01,3.01,6.02,10.0333333333333,258.05934,172.03956,688.15824,382.310133333333
