,uf_sigla,cod_regsaud,regiao_saude,ano,mes,quantidade,ano_mes
166,GO,52012,Rio Vermelho,2021,09,185,2021-09
167,GO,52018,São Patrício II,2021,09,167,2021-09
168,GO,52005,Estrada de Ferro,2021,09,329,2021-09
169,GO,52003,Entorno Norte,2021,09,308,2021-09
170,GO,52010,Oeste II,2021,09,114,2021-09
171,GO,52014,Serra da Mesa,2021,09,102,2021-09
172,GO,52008,Norte,2021,09,143,2021-09
173,GO,52016,Sudoeste II,2021,09,270,2021-09
174,GO,52009,Oeste I,2021,09,93,2021-09
175,GO,52007,Nordeste II,2021,09,116,2021-09
176,GO,52013,São Patrício I,2021,09,144,2021-09
177,GO,52017,Sul,2021,09,250,2021-09
178,GO,52004,Entorno Sul,2021,09,1065,2021-09
179,GO,52009,Oeste I,2021,08,105,2021-08
180,GO,52001,Central,2021,08,1935,2021-08
181,GO,52005,Estrada de Ferro,2021,08,293,2021-08
182,GO,52012,Rio Vermelho,2021,08,189,2021-08
183,GO,52011,Pirineus,2021,08,635,2021-08
184,GO,52010,Oeste II,2021,08,108,2021-08
185,GO,52006,Nordeste I,2021,08,43,2021-08
186,GO,52015,Sudoeste I,2021,08,465,2021-08
187,GO,52008,Norte,2021,08,131,2021-08
188,GO,52014,Serra da Mesa,2021,08,120,2021-08
189,GO,52013,São Patrício I,2021,08,153,2021-08
190,GO,52018,São Patrício II,2021,08,204,2021-08
191,GO,52003,Entorno Norte,2021,08,332,2021-08
192,GO,52007,Nordeste II,2021,08,121,2021-08
193,GO,52017,Sul,2021,08,248,2021-08
194,GO,52004,Entorno Sul,2021,08,1011,2021-08
195,GO,52016,Sudoeste II,2021,08,266,2021-08
196,GO,52002,Centro Sul,2021,08,994,2021-08
197,GO,52006,Nordeste I,2021,07,67,2021-07
198,GO,52008,Norte,2021,07,115,2021-07
199,GO,52003,Entorno Norte,2021,07,332,2021-07
200,GO,52009,Oeste I,2021,07,96,2021-07
201,GO,52014,Serra da Mesa,2021,07,106,2021-07
202,GO,52012,Rio Vermelho,2021,07,189,2021-07
203,GO,52001,Central,2021,07,1999,2021-07
204,GO,52015,Sudoeste I,2021,07,490,2021-07
205,GO,52002,Centro Sul,2021,07,1045,2021-07
206,GO,52005,Estrada de Ferro,2021,07,302,2021-07
207,GO,52018,São Patrício II,2021,07,180,2021-07
208,GO,52010,Oeste II,2021,07,122,2021-07
209,GO,52016,Sudoeste II,2021,07,256,2021-07
210,GO,52013,São Patrício I,2021,07,164,2021-07
211,GO,52007,Nordeste II,2021,07,115,2021-07
212,GO,52017,Sul,2021,07,226,2021-07
213,GO,52011,Pirineus,2021,07,600,2021-07
214,GO,52004,Entorno Sul,2021,07,1050,2021-07
215,GO,52006,Nordeste I,2021,06,48,2021-06
216,GO,52007,Nordeste II,2021,06,122,2021-06
217,GO,52010,Oeste II,2021,06,109,2021-06
218,GO,52001,Central,2021,06,2018,2021-06
219,GO,52005,Estrada de Ferro,2021,06,324,2021-06
220,GO,52004,Entorno Sul,2021,06,1038,2021-06
221,GO,52009,Oeste I,2021,06,120,2021-06
222,GO,52013,São Patrício I,2021,06,172,2021-06
223,GO,52011,Pirineus,2021,06,619,2021-06
224,GO,52012,Rio Vermelho,2021,06,189,2021-06
225,GO,52015,Sudoeste I,2021,06,422,2021-06
226,GO,52014,Serra da Mesa,2021,06,107,2021-06
227,GO,52016,Sudoeste II,2021,06,273,2021-06
228,GO,52017,Sul,2021,06,235,2021-06
229,GO,52003,Entorno Norte,2021,06,279,2021-06
230,GO,52018,São Patrício II,2021,06,179,2021-06
231,GO,52008,Norte,2021,06,137,2021-06
232,GO,52002,Centro Sul,2021,06,925,2021-06
233,GO,52009,Oeste I,2021,05,113,2021-05
234,GO,52007,Nordeste II,2021,05,145,2021-05
235,GO,52013,São Patrício I,2021,05,204,2021-05
236,GO,52015,Sudoeste I,2021,05,524,2021-05
237,GO,52018,São Patrício II,2021,05,213,2021-05
238,GO,52017,Sul,2021,05,269,2021-05
239,GO,52004,Entorno Sul,2021,05,1141,2021-05
