"","codibge","mes_ano","total_nasc","model"
"327",5207,"jun-2023",1620.59052803902,"prophet"
"328",5208,"jun-2023",2660.97123017325,"prophet"
"329",5209,"jun-2023",1341.81836979971,"prophet"
"330",5210,"jun-2023",1772.71944466063,"prophet"
"331",5206,"jul-2023",802.249374201346,"prophet"
"332",5207,"jul-2023",1510.97638757111,"prophet"
"333",5208,"jul-2023",2451.27241117172,"prophet"
"334",5209,"jul-2023",1199.47234973824,"prophet"
"335",5210,"jul-2023",1630.05534054652,"prophet"
"336",5206,"aug-2023",793.062022040185,"prophet"
"337",5207,"aug-2023",1557.04039379851,"prophet"
"338",5208,"aug-2023",2468.32149249342,"prophet"
"339",5209,"aug-2023",1209.18976095132,"prophet"
"340",5210,"aug-2023",1631.81585041511,"prophet"
"341",5206,"sep-2023",758.533522274354,"prophet"
"342",5207,"sep-2023",1454.42435239976,"prophet"
"343",5208,"sep-2023",2407.92147314793,"prophet"
"344",5209,"sep-2023",1190.42109392605,"prophet"
"345",5210,"sep-2023",1595.17844761941,"prophet"
"346",5206,"oct-2023",758.361275536146,"prophet"
"347",5207,"oct-2023",1499.97338685086,"prophet"
"348",5208,"oct-2023",2486.44598352754,"prophet"
"349",5209,"oct-2023",1221.33028119793,"prophet"
"350",5210,"oct-2023",1636.87409200338,"prophet"
"351",5206,"nov-2023",779.448026658391,"prophet"
"352",5207,"nov-2023",1534.7734424956,"prophet"
"353",5208,"nov-2023",2432.67667377834,"prophet"
"354",5209,"nov-2023",1233.64361723802,"prophet"
"355",5210,"nov-2023",1604.21877402134,"prophet"
"356",5206,"dec-2023",742.306652737882,"prophet"
"357",5207,"dec-2023",1387.23707103857,"prophet"
"358",5208,"dec-2023",2251.1832375756,"prophet"
"359",5209,"dec-2023",1134.23079748863,"prophet"
"360",5210,"dec-2023",1534.33307597119,"prophet"
