codibge,mae,mape,layers,batch_size,input_steps,output_steps,n_preds,seed,ep,jan-2022,feb-2022,mar-2022,apr-2022,may-2022,jun-2022,jul-2022,aug-2022,sept-2022,oct-2022,nov-2022,dec-2022,jan-2023,feb-2023,mar-2023,apr-2023,may-2023,jun-2023,jul-2023,aug-2023,sept-2023,oct-2023,nov-2023,dec-2023,jan-2024,feb-2024,mar-2024,apr-2024,may-2024,jun-2024,jul-2024,aug-2024,sept-2024,oct-2024,nov-2024,dec-2024,jan-2025,feb-2025,mar-2025,apr-2025,may-2025,jun-2025,jul-2025,aug-2025,sept-2025,oct-2025,nov-2025,dec-2025,jan-2026,feb-2026,mar-2026,apr-2026,may-2026,jun-2026,jul-2026,aug-2026,sept-2026,oct-2026,nov-2026,dec-2026
29011,28.148731048901876,9.680350984380953,"[100, 200, 100]",128,5,5,5,3407,500,287.0931872725487,297.17718958854675,283.74115467071533,269.383162856102,288.2179927825928,265.608035326004,264.0195173025131,268.32057535648346,268.3299642801285,256.2468522787094,251.25860631465912,262.7463084459305,256.71307265758514,296.8683189153671,282.07998394966125,277.93868839740753,287.1952885389328,262.8554481267929,264.11478340625763,256.59211814403534,270.45041859149933,261.9693422317505,265.59489607810974,266.72679245471954,257.5630456209183,285.9284821152687,273.98391902446747,265.5347990989685,250.2936977148056,250.6250113248825,257.7920776605606,257.0953369140625,250.00327050685883,226.96873307228088,225.71542978286743,258.2511907815933,253.49549770355225,257.79055655002594,245.96617102622986,252.10488140583038,234.3065243959427,246.28077864646912,247.18303978443146,236.22859179973602,243.04467499256134,235.75896203517914,230.06632387638092,234.80245232582092,247.0342594385147,251.5628743171692,244.7887134552002,236.47912919521332,234.13998901844025,240.00977754592896,237.6400250196457,228.85953903198242,232.15904414653778,229.07985091209412,229.43470239639282,225.0092476606369
29012,77.16132688249144,16.30464897422811,"[200, 200]",64,5,5,5,3407,500,551.0660583674907,572.9421014487742,573.2117559909819,611.6477333903312,592.7721809744834,622.2478629797696,619.565976500511,570.2793639302253,570.7345938086509,574.0567061454057,543.9700135737656,566.054088115692,577.3852336555718,584.1624871790408,619.6874845921992,592.6728031188248,614.5950620025395,639.5431523919104,621.9256498813628,598.8138742148875,568.3482337892054,565.2905376404523,555.5348452329634,576.0942871272563,589.451716184616,576.7855567634105,587.4723424911498,606.2085172682999,613.2124261707066,614.547005534172,611.5932858884333,573.0045332163571,575.2171766161918,568.4085714221,564.0738091766833,587.4597535431384,565.9231835752724,573.4352309405803,589.6626021862029,612.2455635815858,607.4675327688454,621.4024239927529,604.4928536713122,571.5406002998351,570.0712841898202,566.2451130300759,573.6558573842048,567.7770178169011,570.391028985381,583.621126204729,596.6766196638345,590.3424415886401,605.4738501608371,607.328052535653,580.2221464514731,585.6424610465764,587.6917257308959,578.7024564445018,569.4365924000739,572.2317492365836
29013,25.604443952441216,11.606932719566188,"[50, 200, 200]",64,5,5,5,3407,500,268.9516898393631,276.0961991548538,289.22257348895073,285.5697042942047,286.84302419424057,265.3009442985058,251.16973954439163,277.00299936532974,251.93914252519608,258.34209340810776,247.55132657289505,253.1477166414261,254.63692098855972,260.1108258366585,260.35081338882446,266.3624669909477,260.7080735564232,259.06761568784714,252.88636302947998,248.3761864900589,260.1749606728554,262.1323292851448,265.02068918943405,267.6706328988075,261.39319509267807,255.99071490764618,253.23056602478027,261.5687643289566,271.456895172596,261.84791362285614,265.4743886590004,247.62551760673523,260.89476692676544,273.2371402978897,267.8999142050743,266.21141386032104,271.41361808776855,269.4070437550545,269.53029876947403,263.67518949508667,271.05217415094376,244.56203812360764,251.15392822027206,246.41215366125107,247.42453294992447,262.324753344059,244.58740955591202,251.77891784906387,252.0652641057968,250.90009659528732,264.0632316470146,257.1127715110779,259.7645211815834,255.62450069189072,262.0188201069832,262.4135313630104,259.99590414762497,263.172443151474,258.4912672638893,262.97577422857285
29014,29.405675510813776,6.6403745015184965,"[100, 200, 100]",64,5,5,5,3407,500,414.17894628643995,425.4268736094237,446.05153878033167,400.3667299151421,443.7964849621058,442.6111732125283,423.2139874696732,432.0500690937043,416.8381385952235,418.0246338695288,423.81616015732294,426.18891265988356,398.3870987296105,420.61243247985846,417.9111965447665,406.2841792106629,424.83009551465517,439.8151614218951,433.81204237043863,445.1824494153262,417.966171771288,434.92346931993967,411.79730226099497,418.6627481579781,414.8578737378121,421.9814856052399,429.8373841196299,428.55208297073847,447.6496492028237,430.4391477704049,433.6047310829163,441.2867218703032,416.4925627857447,419.4741532653571,416.8494273424149,415.5909248143435,420.1693516671658,419.0229587703944,424.739252448082,434.53427073359495,431.5632246881724,429.40603797137743,419.9573263972998,410.0796658992768,409.7848911285401,416.40925672650343,415.68511058390146,424.2502958029509,412.23489795625215,413.99030652642256,421.2070312798024,414.1716037392617,419.30883531272417,423.2696500122548,412.3136710822583,420.92914772033697,413.2178537994624,408.49124830961233,409.5916681438685,408.8341284990311
29015,40.77476902082562,7.440466982077408,"[200, 100, 100]",64,5,5,5,3407,500,543.1236397027969,537.1657192111015,593.0948631614447,599.8529171943665,618.3580835610628,619.490710735321,592.7434238940477,600.3029705137014,588.2144204974174,554.5535634160042,542.4902434945107,541.0060037970543,577.6237748861313,550.1086475849152,617.9201941490173,573.9716055989265,604.9671494364738,609.174059048295,598.5787715315819,591.9146963953972,588.017295897007,551.3668897151947,545.7536447644234,547.7055851221085,581.2740271091461,541.9503154158592,605.6996884644032,604.2053144276142,600.7997038960457,647.9038588553667,609.2706930339336,584.7923709154129,587.3463324308395,568.762078166008,545.087046444416,523.8676299452782,542.9926673173904,539.7725754976273,574.6255854964256,597.7852532118559,599.1742427200079,638.6663028001785,604.7897107452154,592.3506754934788,593.6333534419537,577.5036118626595,572.2157278060913,545.9070909023285,548.6643962264061,539.0719920396805,571.3693034648895,578.3291375041008,601.7593025267124,630.7585390210152,617.0337027162313,604.8924199342728,603.7052824348211,581.2497802972794,584.6067487001419,554.6685332655907
29016,39.67693622379253,5.046211421566475,"[200, 200]",128,5,5,5,3407,500,705.737541437149,705.2390594184399,809.8094953596592,807.380427390337,820.2736394256353,790.1937258914113,760.6298143565655,707.4291038811207,713.0826718732715,710.3549065589905,702.1116895973682,695.7505174577236,714.7265018522739,697.6077888309956,794.3753598034382,793.8372479379177,776.9783855080605,738.3740243762732,709.6116178631783,692.1296646296978,708.6015788316727,713.6475676596165,708.1477533727884,700.9215881228447,708.1466133594513,697.6991390585899,772.7284434884787,795.2054940760136,816.056529790163,759.249737650156,725.3211081922054,698.773014575243,695.5656264722347,715.4454091787338,683.1799505054951,688.8107512593269,722.6638670861721,716.2681919634342,786.060809969902,797.156725987792,803.5544744431973,788.5591774322093,767.352119281888,704.7759625613689,690.4069340080023,691.6305177807808,680.9335318505764,695.0154006332159,707.4110383987427,703.7742594778538,795.9229055345058,821.6123240590096,805.2228743731976,764.5873014032841,730.9079577028751,699.5947404503822,699.5724345445633,707.8566962480545,706.23988032341,693.3366169929504
29017,33.06266376084338,11.718390929146555,"[50, 200, 100]",64,5,5,5,3407,500,328.4774409942329,338.47186447679996,332.37609484791756,351.88923025131226,342.96498665213585,334.4032232519239,325.0954839736223,309.92019212432206,323.1987537685782,319.12579712085426,307.05615429766476,303.3788458779454,321.87807889282703,332.7923103570938,356.8936386015266,371.0817068219185,371.9214814584702,345.2199370469898,346.48385787010193,330.6215884499252,320.5806683152914,332.18009335547686,303.7280225530267,327.7610602658242,329.8533463720232,335.5709798038006,361.85969839431345,368.50956975109875,368.91145071573555,343.5820161700249,353.6148804575205,322.8821805547923,326.7477638423443,305.6934566106647,295.2645314261317,308.45764645934105,312.9876741543412,329.14003849588335,363.54524440690875,349.5969903524965,363.0212463308126,341.60945428162813,332.4876892250031,331.8167193662375,330.374501073733,322.8549851439893,303.30492401123047,308.70733534544706,323.33238095603883,323.7285764757544,372.455116301775,375.0392367467284,373.65113774873316,363.1895181592554,352.9632392209023,332.45654542557895,339.7129643112421,318.8541539814323,311.2387932240963,318.7749798744917
29018,29.43661049803098,5.467095681589695,"[100, 200, 200]",64,5,5,5,3407,500,521.8504972346127,528.2181359231472,553.0753253921866,544.7924708165228,522.4978122077882,528.9743385240436,519.3992746025324,517.3413019403815,509.43851491063833,489.1035079360008,501.2964149713516,481.5914802402258,506.46178209781647,523.766571931541,551.6156481355429,555.1446665599942,550.4484214410186,524.5443638376892,508.09197468310595,511.78738860040903,506.5510895624757,503.59139900282025,496.1842607855797,508.2870934680104,525.0136057808995,520.6969782300293,572.6252804100513,557.2387897744775,558.1361523419619,522.6343760974705,525.240781545639,507.86821139603853,509.68104419857264,492.8852930814028,488.6142542362213,509.6985863298178,507.6861699819565,544.5496920272708,558.4007655605674,555.7140828445554,562.5696226730943,525.2577029876411,506.3856833204627,502.1782979518175,507.31537775695324,511.53570961765945,508.7751320526004,498.98020231723785,525.6564918868244,522.346043182537,565.5648518502712,549.2265968546271,544.6176789477468,523.9331302568316,514.1908811926842,498.8420538753271,501.2558084130287,512.2478892430663,520.9465469568968,522.0063532665372
29019,21.83191560904185,7.192346508865572,"[50, 200, 200]",64,5,5,5,3407,500,299.6614349782467,294.34319204092026,324.21999076008797,328.630956530571,315.6028788089752,319.9862943291664,315.2007185816765,304.08541321754456,307.59592977166176,295.877565741539,308.610637396574,306.6807156801224,291.751451164484,292.058243393898,310.6563768982887,300.60728400945663,321.42154163122177,308.85622787475586,295.3589897155762,298.2298968732357,300.29494312405586,310.861529558897,287.48199504613876,314.6508149802685,307.3497866988182,293.5709107220173,320.2750174701214,294.1956757605076,303.22818371653557,306.97108525037766,311.9409286081791,306.28394892811775,301.31988510489464,312.1827871799469,309.0769667327404,311.3587436378002,295.0783889591694,298.32765313982964,313.9440388381481,302.78678169846535,322.21075278520584,320.1212863922119,306.23956725001335,304.573274821043,290.6579988002777,287.9650157690048,296.30307498574257,300.63300237059593,316.1158645451069,323.2431093752384,325.28235399723053,322.69853112101555,321.06032261252403,304.51663386821747,301.3080308139324,301.4720946550369,293.83423721790314,301.4085500538349,304.8737197816372,304.23487493395805
29020,429.28058139421046,13.999079540445045,"[200, 200]",64,5,5,5,3407,500,3426.5242207199335,3545.3014799952507,3856.780195713043,3798.2435504347086,4062.7153404951096,3959.54936465621,3883.059419095516,3737.988143876195,3627.478755220771,3509.238612189889,3358.7424741983414,3316.3751034736633,3346.454374194145,3299.3104330301285,3916.149213910103,3953.4138643741608,4155.459047064185,3983.280670389533,3868.1225230693817,3666.929369330406,3472.568173214793,3394.3444359898567,3333.3134425878525,3353.572164773941,3470.0870718061924,3445.7058030366898,3861.545041501522,3842.211395457387,4070.780877649784,3949.3699894845486,3844.654932796955,3716.8735994696617,3700.3012989610434,3559.975492939353,3354.2923389673233,3334.27567255497,3475.591557562351,3500.0296540260315,4076.357631728053,3955.084044456482,4184.5292486697435,3951.604308396578,3800.419816866517,3709.925670661032,3622.6343637406826,3554.8408152759075,3388.5776438713074,3341.431205570698,3377.5311915278435,3469.8132548332214,4052.964949607849,3911.561712384224,4097.947726070881,3908.9180295467377,3784.9400968551636,3666.284959450364,3639.0633464455605,3455.846912562847,3265.6549773216248,3346.058649390936
29021,19.378092875300595,5.436635972094212,"[100, 200, 100]",128,5,5,5,3407,500,345.73455549776554,377.88678370416164,361.84593319147825,400.4145673215389,375.0705158263445,361.352619998157,333.2957993261516,345.90746093168855,353.48466815799475,353.87613189965487,344.48055140674114,323.976930025965,341.82097433693707,361.96456602215767,392.6234200447798,398.5418244898319,371.5365686118603,362.2334412485361,345.7013460621238,329.26150020584464,334.6163273304701,354.00176663324237,345.9153408780694,327.05573918670416,346.08976627886295,357.40436554700136,405.39754662662745,396.5620142221451,387.84472500532866,356.25479835271835,341.5480181835592,335.42997735738754,345.70778235420585,351.19857154786587,338.70074136555195,324.86971035413444,335.72680991888046,348.17780213803053,405.7010893076658,399.79702085256577,384.25525994598866,360.5092834830284,340.5110623091459,337.49139539152384,344.78045981377363,355.67682668566704,334.2952776476741,339.56614208966494,343.1726185679436,366.19221426546574,384.29816377162933,389.2251906991005,387.88150407373905,362.29393826425076,331.6043652892113,326.03367413952947,342.91654589772224,356.4587109312415,327.64682763814926,322.78640587441623
29022,22.74421955558159,4.9770334344603615,"[100, 200, 100]",128,5,5,5,3407,500,459.6682177558541,432.6785731017589,519.2555879876016,510.3211202919482,526.9017848074435,517.1874453574418,468.16097971796984,487.8711987361311,452.3298778831958,429.11664587259287,393.127046495676,431.6470991149544,439.88728743791575,450.13189253211016,517.4652755707501,520.5782983899115,524.1060585603117,506.31484557688225,478.0922864079475,483.2838135287165,440.41739118099207,434.4476942420005,416.80412915349,416.7251293063163,448.8033635616302,445.10959354043,508.9426171854137,513.5726949274539,491.3157713487744,510.02080556750286,471.92558937519783,461.65444236993784,391.7825248539447,412.6429703533649,401.56115484237665,404.04719781875605,443.4184692502021,474.29664307087654,523.7738216742872,529.9773926734923,517.5147304385899,502.5928968638181,469.1791008114814,446.4296799600124,397.71105942130083,398.2210084497928,384.45311915874476,383.6949243843555,435.07349339127535,453.32237121462816,528.9189976900815,543.9218450039624,526.9166678637265,518.280641183257,470.4336212277412,455.927778750658,416.97846901416773,407.734302252531,389.1407803893089,385.1127122044563
