"","uf","ibge","municipio","total_equipe","total_pop","medicos","enfermeiros","tecnicos","acs"
"100","BA","290810","COCOS",6.44545714285714,16151,6.44545714285714,6.44545714285714,12.8909142857143,21.5346666666667
"101","BA","290820","CONCEIÇÃO DA FEIRA",8.40602857142857,21424,8.40602857142857,8.40602857142857,16.8120571428571,28.5653333333333
"102","BA","290830","CONCEIÇÃO DO ALMEIDA",7.22487142857143,18918,7.22487142857143,7.22487142857143,14.4497428571429,25.224
"103","BA","290840","CONCEIÇÃO DO COITÉ",24.4990142857143,64624,24.4990142857143,24.4990142857143,48.9980285714286,86.1653333333333
"104","BA","290850","CONCEIÇÃO DO JACUÍPE",12.3547714285714,34020,12.3547714285714,12.3547714285714,24.7095428571429,45.36
"105","BA","290860","CONDE",8.86898571428571,23145,8.86898571428571,8.86898571428571,17.7379714285714,30.86
"106","BA","290870","CONDEÚBA",6.5435,17940,6.5435,6.5435,13.087,23.92
"107","BA","290880","CONTENDAS DO SINCORÁ",1.808,4546,1.808,1.808,3.616,6.06133333333333
"108","BA","290890","CORAÇÃO DE MARIA",9.3859,25960,9.3859,9.3859,18.7718,34.6133333333333
"109","BA","290900","CORDEIROS",3.48515714285714,8723,3.48515714285714,3.48515714285714,6.97031428571429,11.6306666666667
"110","BA","290910","CORIBE",5.53475714285714,14929,5.53475714285714,5.53475714285714,11.0695142857143,19.9053333333333
"111","BA","290920","CORONEL JOÃO SÁ",6.32302857142857,17136,6.32302857142857,6.32302857142857,12.6460571428571,22.848
"112","BA","290930","CORRENTINA",11.2261428571429,29873,11.2261428571429,11.2261428571429,22.4522857142857,39.8306666666667
"113","BA","290940","COTEGIPE",4.84932857142857,12644,4.84932857142857,4.84932857142857,9.69865714285714,16.8586666666667
"114","BA","290950","CRAVOLÂNDIA",2.03451428571429,5360,2.03451428571429,2.03451428571429,4.06902857142857,7.14666666666667
"115","BA","290960","CRISÓPOLIS",7.19141428571429,19087,7.19141428571429,7.19141428571429,14.3828285714286,25.4493333333333
"116","BA","290970","CRISTÓPOLIS",5.37267142857143,13897,5.37267142857143,5.37267142857143,10.7453428571429,18.5293333333333
"117","BA","290980","CRUZ DAS ALMAS",21.1352857142857,55393,21.1352857142857,21.1352857142857,42.2705714285714,73.8573333333333
"118","BA","290990","CURAÇÁ",13.4889571428571,35433,13.4889571428571,13.4889571428571,26.9779142857143,47.244
"119","BA","291000","DÁRIO MEIRA",3.59161428571429,8934,3.59161428571429,3.59161428571429,7.18322857142857,11.912
"120","BA","291005","DIAS D'ÁVILA",25.0021428571429,65816,25.0021428571429,25.0021428571429,50.0042857142857,87.7546666666667
"121","BA","291010","DOM BASÍLIO",5.10427142857143,12989,5.10427142857143,5.10427142857143,10.2085428571429,17.3186666666667
"122","BA","291020","DOM MACEDO COSTA",2.04028571428571,5332,2.04028571428571,2.04028571428571,4.08057142857143,7.10933333333333
"123","BA","291030","ELÍSIO MEDRADO",3.13252857142857,8880,3.13252857142857,3.13252857142857,6.26505714285714,11.84
"124","BA","291040","ENCRUZILHADA",7.12277142857143,18251,7.12277142857143,7.12277142857143,14.2455428571429,24.3346666666667
"125","BA","291050","ENTRE RIOS",12.8132285714286,34511,12.8132285714286,12.8132285714286,25.6264571428571,46.0146666666667
"126","BA","291060","ESPLANADA",11.3883714285714,28815,11.3883714285714,11.3883714285714,22.7767428571429,38.42
"127","BA","291070","EUCLIDES DA CUNHA",22.5054428571429,58636,22.5054428571429,22.5054428571429,45.0108857142857,78.1813333333333
"128","BA","291072","EUNÁPOLIS",36.8439142857143,96943,36.8439142857143,36.8439142857143,73.6878285714286,129.257333333333
"129","BA","291075","FÁTIMA",7.39621428571429,19430,7.39621428571429,7.39621428571429,14.7924285714286,25.9066666666667
"130","BA","291077","FEIRA DA MATA",2.07387142857143,6114,2.07387142857143,2.07387142857143,4.14774285714286,8.152
"131","BA","291080","FEIRA DE SANTANA",183.772857142857,468986,183.772857142857,183.772857142857,367.545714285714,625.314666666667
"132","BA","291085","FILADÉLFIA",7.01014285714286,18977,7.01014285714286,7.01014285714286,14.0202857142857,25.3026666666667
"133","BA","291090","FIRMINO ALVES",2.30695714285714,6299,2.30695714285714,2.30695714285714,4.61391428571429,8.39866666666667
"134","BA","291100","FLORESTA AZUL",4.21574285714286,10057,4.21574285714286,4.21574285714286,8.43148571428571,13.4093333333333
"135","BA","291110","FORMOSA DO RIO PRETO",8.52142857142857,22292,8.52142857142857,8.52142857142857,17.0428571428571,29.7226666666667
"136","BA","291120","GANDU",10.5245857142857,27136,10.5245857142857,10.5245857142857,21.0491714285714,36.1813333333333
"137","BA","291125","GAVIÃO",1.91442857142857,4863,1.91442857142857,1.91442857142857,3.82885714285714,6.484
"138","BA","291130","GENTIO DO OURO",4.66088571428571,11347,4.66088571428571,4.66088571428571,9.32177142857143,15.1293333333333
"139","BA","291140","GLÓRIA",5.49917142857143,14501,5.49917142857143,5.49917142857143,10.9983428571429,19.3346666666667
"140","BA","291150","GONGOGI",3.1971,7457,3.1971,3.1971,6.3942,9.94266666666667
"141","BA","291160","GOVERNADOR MANGABEIRA",9.2437,23482,9.2437,9.2437,18.4874,31.3093333333333
"142","BA","291165","GUAJERU",3.1401,8636,3.1401,3.1401,6.2802,11.5146666666667
"143","BA","291170","GUANAMBI",34.3249714285714,84297,34.3249714285714,34.3249714285714,68.6499428571429,112.396
"144","BA","291180","GUARATINGA",6.57767142857143,16722,6.57767142857143,6.57767142857143,13.1553428571429,22.296
"145","BA","291185","HELIÓPOLIS",4.77327142857143,13255,4.77327142857143,4.77327142857143,9.54654285714286,17.6733333333333
"146","BA","291190","IAÇU",10.8153,27997,10.8153,10.8153,21.6306,37.3293333333333
"147","BA","291200","IBIASSUCÊ",4.4512,10935,4.4512,4.4512,8.9024,14.58
"148","BA","291210","IBICARAÍ",9.76184285714286,25275,9.76184285714286,9.76184285714286,19.5236857142857,33.7
"149","BA","291220","IBICOARA",9.28632857142857,23302,9.28632857142857,9.28632857142857,18.5726571428571,31.0693333333333
"150","BA","291230","IBICUÍ",6.08891428571429,15183,6.08891428571429,6.08891428571429,12.1778285714286,20.244
"151","BA","291240","IBIPEBA",6.96584285714286,17181,6.96584285714286,6.96584285714286,13.9316857142857,22.908
"152","BA","291250","IBIPITANGA",5.54427142857143,14643,5.54427142857143,5.54427142857143,11.0885428571429,19.524
"153","BA","291260","IBIQUERA",1.2785,3685,1.2785,1.2785,2.557,4.91333333333333
"154","BA","291270","IBIRAPITANGA",8.6693,21668,8.6693,8.6693,17.3386,28.8906666666667
"155","BA","291280","IBIRAPUÃ",4.2036,10338,4.2036,4.2036,8.4072,13.784
"156","BA","291290","IBIRATAIA",8.32117142857143,20540,8.32117142857143,8.32117142857143,16.6423428571429,27.3866666666667
"157","BA","291300","IBITIARA",5.82901428571429,15311,5.82901428571429,5.82901428571429,11.6580285714286,20.4146666666667
"158","BA","291310","IBITITÁ",6.26685714285714,16095,6.26685714285714,6.26685714285714,12.5337142857143,21.46
"159","BA","291320","IBOTIRAMA",10.4319,27809,10.4319,10.4319,20.8638,37.0786666666667
"160","BA","291330","ICHU",2.40361428571429,6723,2.40361428571429,2.40361428571429,4.80722857142857,8.964
"161","BA","291340","IGAPORÃ",6.02284285714286,15488,6.02284285714286,6.02284285714286,12.0456857142857,20.6506666666667
"162","BA","291345","IGRAPIÚNA",4.97878571428571,12318,4.97878571428571,4.97878571428571,9.95757142857143,16.424
"163","BA","291350","IGUAÍ",7.13728571428571,18555,7.13728571428571,7.13728571428571,14.2745714285714,24.74
"164","BA","291360","ILHÉUS",33.9750714285714,92986,33.9750714285714,33.9750714285714,67.9501428571429,123.981333333333
"165","BA","291370","INHAMBUPE",12.2009428571429,32751,12.2009428571429,12.2009428571429,24.4018857142857,43.668
"166","BA","291380","IPECAETÁ",5.0732,13425,5.0732,5.0732,10.1464,17.9
"167","BA","291390","IPIAÚ",15.6122857142857,41566,15.6122857142857,15.6122857142857,31.2245714285714,55.4213333333333
"168","BA","291400","IPIRÁ",15.6055714285714,42589,15.6055714285714,15.6055714285714,31.2111428571429,56.7853333333333
"169","BA","291410","IPUPIARA",4.14155714285714,10687,4.14155714285714,4.14155714285714,8.28311428571429,14.2493333333333
"170","BA","291420","IRAJUBA",2.66167142857143,6828,2.66167142857143,2.66167142857143,5.32334285714286,9.104
"171","BA","291430","IRAMAIA",3.97942857142857,9711,3.97942857142857,3.97942857142857,7.95885714285714,12.948
"172","BA","291440","IRAQUARA",9.3228,24657,9.3228,9.3228,18.6456,32.876
"173","BA","291450","IRARÁ",11.7501571428571,29335,11.7501571428571,11.7501571428571,23.5003142857143,39.1133333333333
"174","BA","291460","IRECÊ",32.4074142857143,82892,32.4074142857143,32.4074142857143,64.8148285714286,110.522666666667
"175","BA","291465","ITABELA",11.8768,30210,11.8768,11.8768,23.7536,40.28
"176","BA","291470","ITABERABA",24.6642142857143,63289,24.6642142857143,24.6642142857143,49.3284285714286,84.3853333333333
"177","BA","291480","ITABUNA",68.3512714285714,183168,68.3512714285714,68.3512714285714,136.702542857143,244.224
"178","BA","291490","ITACARÉ",9.0464,23252,9.0464,9.0464,18.0928,31.0026666666667
"179","BA","291500","ITAETÉ",5.26425714285714,13231,5.26425714285714,5.26425714285714,10.5285142857143,17.6413333333333
"180","BA","291510","ITAGI",6.07042857142857,14237,6.07042857142857,6.07042857142857,12.1408571428571,18.9826666666667
"181","BA","291520","ITAGIBÁ",3.84582857142857,10698,3.84582857142857,3.84582857142857,7.69165714285714,14.264
"182","BA","291530","ITAGIMIRIM",2.39284285714286,6292,2.39284285714286,2.39284285714286,4.78568571428571,8.38933333333333
"183","BA","291535","ITAGUAÇU DA BAHIA",4.76387142857143,12935,4.76387142857143,4.76387142857143,9.52774285714286,17.2466666666667
"184","BA","291540","ITAJU DO COLÔNIA",1.8793,5036,1.8793,1.8793,3.7586,6.71466666666667
"185","BA","291550","ITAJUÍPE",7.058,17715,7.058,7.058,14.116,23.62
"186","BA","291560","ITAMARAJU",21.6418,56218,21.6418,21.6418,43.2836,74.9573333333333
"187","BA","291570","ITAMARI",2.8269,7692,2.8269,2.8269,5.6538,10.256
"188","BA","291580","ITAMBÉ",9.40878571428571,23228,9.40878571428571,9.40878571428571,18.8175714285714,30.9706666666667
"189","BA","291590","ITANAGRA",2.72561428571429,6981,2.72561428571429,2.72561428571429,5.45122857142857,9.308
"190","BA","291600","ITANHÉM",7.5476,19680,7.5476,7.5476,15.0952,26.24
"191","BA","291610","ITAPARICA",7.57934285714286,19261,7.57934285714286,7.57934285714286,15.1586857142857,25.6813333333333
"192","BA","291620","ITAPÉ",4.34297142857143,11130,4.34297142857143,4.34297142857143,8.68594285714286,14.84
